h11 h12 h13
52.46 47.49 54.31 
53.28 50.01 43.08 
49.40 54.60 49.53 
53.23 50.06 47.71 
50.38 52.62 48.90 
52.06 46.06 56.06 
45.76 40.26 51.68 
47.76 53.05 40.34 
42.83 51.31 55.18 
54.21 49.13 47.61 
51.24 51.85 50.69 
58.28 48.17 57.26 
49.97 48.39 54.44 
48.66 42.62 54.92 
54.57 46.10 41.43 
49.01 52.45 54.89 
55.74 46.67 51.08 
49.36 48.51 59.75 
54.00 54.13 51.34 
54.68 37.81 50.23 
45.66 46.20 53.75 
44.03 55.53 51.75 
49.89 44.84 55.60 
50.00 47.69 53.25 
51.70 53.80 48.00 
54.30 48.07 55.07 
50.44 53.76 44.26 
48.01 49.35 55.50 
41.79 52.17 51.96 
47.87 53.45 56.95 
53.61 47.39 38.26 
53.59 44.78 52.43 
49.53 54.36 39.17 
50.29 53.85 42.77 
48.81 50.13 53.16 
54.92 52.39 53.95 
50.56 57.00 54.06 
47.75 47.10 53.44 
53.51 49.14 48.75 
54.11 43.66 44.40 
54.49 48.42 34.00 
53.55 47.49 42.59 
49.35 49.53 50.44 
45.67 58.40 51.44 
53.69 44.85 53.32 
58.48 52.90 52.54 
56.65 54.01 60.17 
56.60 51.75 60.29 
50.26 52.42 55.59 
42.21 55.71 52.98 
