h11 h12 h13 h14 h15
81.23 91.71 106.33 87.68 107.09 
110.01 89.68 108.18 96.83 108.32 
107.63 99.22 111.04 96.61 105.52 
328.15 335.23 319.99 318.17 318.58 
144.32 143.94 144.10 142.55 85.98 
105.38 98.68 93.09 115.97 118.02 
110.86 104.49 88.99 101.94 94.69 
103.29 110.65 82.14 95.31 102.88 
106.02 89.63 93.18 109.72 91.96 
90.64 90.55 107.47 98.49 108.84 
75.38 110.04 79.01 97.14 99.31 
102.77 87.99 99.13 104.49 103.15 
77.99 112.02 114.31 96.06 99.12 
103.36 91.12 109.97 92.41 97.65 
95.36 81.59 103.83 95.98 102.86 
100.31 107.93 108.16 101.89 110.15 
89.57 90.49 100.39 114.10 104.70 
95.59 106.33 103.89 108.38 92.07 
90.77 102.24 105.40 110.91 109.58 
104.07 84.96 109.00 113.27 97.03 
106.94 91.38 97.15 105.00 94.67 
97.47 103.17 116.21 107.74 103.29 
107.19 98.03 93.50 106.78 85.31 
85.60 113.23 104.57 106.22 92.68 
80.63 98.39 89.40 106.33 105.09 
94.98 112.33 105.06 98.10 102.91 
97.29 108.56 101.34 80.43 79.65 
91.29 96.33 98.64 106.75 107.13 
106.37 109.80 89.59 98.98 101.61 
105.53 93.59 90.12 107.27 112.49 
96.96 101.54 93.90 109.75 83.87 
92.94 98.95 101.80 107.73 107.93 
112.60 112.50 89.88 106.31 97.96 
103.15 102.82 101.76 82.85 97.64 
115.30 110.06 104.04 94.10 99.57 
100.02 92.99 110.15 100.08 99.85 
94.76 99.80 97.59 97.75 109.31 
108.10 92.33 102.58 101.52 93.74 
105.99 85.19 77.63 112.89 104.65 
98.65 109.58 94.28 90.52 103.08 
104.06 111.59 97.04 102.04 83.02 
102.94 80.21 105.48 92.16 103.82 
98.68 104.40 104.50 109.11 101.37 
108.72 98.01 78.77 102.38 113.61 
91.08 111.96 98.83 103.02 103.06 
104.41 86.40 95.99 99.82 104.41 
102.68 100.30 107.28 107.48 106.54 
98.06 114.75 110.69 117.88 98.66 
105.97 93.74 103.87 99.38 91.72 
101.86 111.57 100.21 91.80 114.85 
