h11 h12 h13 h14 h15
0.62 0.90 0.42 0.93 0.40 
1.03 0.73 0.82 1.30 1.21 
0.53 0.60 0.59 0.51 0.74 
0.53 0.57 0.70 0.85 0.74 
0.58 1.24 1.35 0.78 1.21 
1.50 1.43 1.33 0.90 1.21 
0.53 0.95 0.85 0.54 1.11 
0.64 1.06 1.08 0.67 0.99 
0.72 1.31 1.21 0.66 1.41 
1.00 1.90 1.70 1.17 1.50 
2.21 2.11 2.34 1.93 2.13 
1.29 2.08 1.90 1.18 1.22 
0.61 1.05 1.14 0.71 1.08 
0.47 1.17 1.11 0.76 1.16 
0.77 1.48 1.41 1.13 1.42 
0.54 1.11 1.09 0.79 1.15 
0.62 1.25 1.18 0.85 1.20 
0.72 1.19 1.19 0.85 1.16 
0.70 1.34 1.31 0.90 1.14 
0.96 1.64 1.62 1.15 1.69 
0.60 1.17 1.23 0.90 1.21 
0.55 1.14 1.08 0.84 1.09 
0.63 1.42 1.37 1.01 1.40 
0.79 1.17 1.21 0.91 1.21 
0.68 1.07 1.08 0.78 0.92 
0.48 1.03 1.09 0.87 1.12 
1.00 1.55 1.54 1.14 1.46 
0.82 1.65 1.52 1.17 1.62 
0.68 1.08 1.13 0.76 1.17 
0.72 1.18 1.17 0.67 1.15 
0.58 1.07 1.14 0.60 1.15 
0.89 1.66 1.46 1.65 1.58 
0.54 1.12 1.11 1.17 1.07 
0.63 1.04 1.00 1.08 1.05 
0.79 1.17 1.14 1.12 1.19 
0.59 1.08 1.06 1.04 1.12 
0.64 1.19 1.17 1.04 1.24 
0.78 1.29 1.28 1.34 1.32 
0.63 1.10 1.18 1.14 1.20 
0.69 1.15 1.12 1.08 1.18 
0.74 1.44 1.38 1.37 1.42 
0.61 1.24 1.19 1.21 1.16 
0.75 1.14 1.09 1.12 1.16 
0.67 1.12 1.11 1.15 1.17 
0.59 1.28 1.31 1.33 1.36 
0.58 1.25 1.13 1.19 1.29 
0.50 1.13 1.07 1.11 1.15 
0.56 0.98 1.00 1.03 1.00 
0.66 1.42 1.45 1.52 1.59 
0.86 1.53 1.68 1.61 1.65 
