h11 h12 h13
4.53 4.53 4.02 
5.34 5.26 5.43 
5.59 5.43 6.18 
4.71 5.38 5.20 
5.46 5.25 5.26 
5.08 5.42 5.59 
5.06 5.49 5.20 
5.09 5.32 5.19 
6.14 5.41 5.36 
5.20 5.09 5.52 
5.07 5.07 5.29 
4.65 5.77 4.92 
4.98 4.83 4.94 
5.01 5.60 5.47 
5.38 5.44 5.56 
6.22 5.56 5.08 
5.06 4.86 4.86 
5.30 5.73 5.54 
5.88 5.21 5.13 
5.03 4.80 5.13 
5.94 5.85 5.28 
5.20 5.73 5.38 
5.16 5.38 5.36 
4.94 5.53 5.53 
5.53 5.36 5.49 
4.92 5.83 5.59 
5.08 5.70 5.22 
5.55 5.31 5.40 
4.95 5.59 4.78 
5.50 5.50 5.68 
5.53 5.63 5.76 
5.50 4.28 6.05 
5.17 4.99 5.02 
5.96 5.93 5.49 
5.46 5.19 5.37 
5.27 5.28 5.54 
5.20 5.04 6.10 
4.77 5.08 5.72 
4.68 4.98 5.05 
5.36 5.57 5.41 
5.19 6.04 5.38 
4.91 5.19 4.82 
5.51 5.00 5.37 
5.49 5.25 6.09 
4.73 4.84 5.01 
4.54 5.67 4.50 
5.46 4.48 5.15 
5.00 4.93 5.05 
5.61 5.48 5.71 
5.04 5.72 5.87 
