h11 h12 h13 h14 h15 h16 h17
111.20 123.84 115.36 109.41 108.37 130.72 131.25 
116.24 106.08 129.04 129.39 116.77 104.64 114.10 
131.19 95.60 118.75 113.13 98.89 126.87 118.01 
121.61 100.70 100.95 102.71 116.98 128.11 122.12 
98.28 137.63 124.19 122.02 117.87 120.85 125.21 
108.31 108.50 124.31 131.23 127.15 137.76 111.29 
118.94 119.91 118.62 115.20 134.47 114.01 117.59 
113.79 120.61 101.66 132.99 128.99 94.27 113.31 
95.37 128.74 117.00 104.50 105.12 119.29 127.63 
128.30 123.54 104.59 128.47 117.53 98.47 87.53 
111.86 123.67 121.45 93.69 132.24 118.07 119.10 
117.54 124.50 118.58 123.87 102.29 107.27 127.47 
129.61 127.10 96.46 106.98 125.55 110.56 124.15 
121.30 94.52 106.45 134.41 121.09 127.32 114.30 
121.78 106.58 106.68 119.75 131.16 130.46 135.35 
117.00 124.13 135.00 133.73 116.15 109.18 127.28 
105.06 121.45 117.00 103.71 99.36 129.64 115.11 
121.95 114.46 113.54 98.73 114.59 126.05 130.51 
122.04 124.59 110.60 116.98 122.90 116.51 118.17 
119.50 135.36 110.20 131.29 109.12 120.97 130.95 
136.32 118.14 120.43 106.45 117.92 113.48 129.46 
124.31 97.86 124.77 111.80 123.66 134.44 124.87 
107.02 114.80 115.60 125.70 99.26 123.37 120.59 
125.87 109.96 121.98 132.58 110.09 119.16 124.35 
127.29 106.81 122.82 132.38 126.58 107.67 109.14 
119.99 131.56 116.87 107.76 110.72 117.59 109.71 
136.71 106.68 109.96 133.80 121.92 104.82 116.49 
113.56 125.45 106.97 120.25 100.79 127.70 111.99 
125.69 120.26 121.83 131.72 104.86 117.30 106.55 
128.68 122.61 111.92 106.51 120.86 120.72 98.94 
101.91 89.65 129.61 115.59 119.48 103.40 124.23 
115.04 117.85 120.96 113.14 117.00 127.77 119.12 
99.71 110.42 133.43 122.97 105.26 123.43 118.76 
125.52 102.38 114.65 103.79 107.20 125.47 127.88 
110.74 120.30 126.39 122.71 123.00 120.40 133.06 
120.65 121.61 116.34 121.31 101.57 132.03 113.91 
106.72 130.37 114.77 97.84 119.85 120.09 110.40 
123.81 123.22 133.87 98.00 104.94 121.10 129.92 
118.99 123.38 120.37 125.08 117.76 118.04 122.68 
127.48 136.96 139.24 130.78 118.41 120.87 105.91 
127.13 104.43 112.98 131.09 123.83 107.57 104.25 
123.52 98.63 130.39 123.91 95.71 121.19 116.88 
122.87 91.01 99.61 124.56 120.55 121.79 125.42 
113.49 119.97 130.76 135.22 125.69 94.33 122.72 
95.91 116.13 109.08 103.64 124.13 105.42 128.68 
102.44 126.19 89.38 127.41 115.39 113.56 113.31 
105.58 96.80 107.93 114.86 116.96 125.20 129.70 
111.37 123.87 125.93 129.80 104.91 120.83 108.86 
105.84 125.97 122.55 113.20 119.42 118.27 129.48 
129.08 133.67 117.53 112.77 128.22 111.98 114.39 
