h11 h12 h13 h14 h15
0.41 0.65 0.55 0.58 0.47 
0.58 0.70 0.80 0.40 0.36 
0.66 0.48 0.70 1.02 0.95 
0.61 0.66 0.50 0.42 0.57 
1.46 1.18 1.34 1.24 1.30 
0.66 0.82 1.55 0.64 1.59 
0.95 1.35 1.19 1.07 0.95 
0.76 1.50 1.08 0.81 0.53 
1.12 1.15 1.14 0.69 0.67 
1.29 1.18 1.35 0.66 0.99 
1.40 2.14 2.50 1.20 1.70 
0.77 0.73 0.86 1.83 0.83 
1.27 1.65 1.34 0.96 1.67 
1.00 1.62 0.98 0.68 1.79 
1.35 1.29 1.13 0.62 1.06 
2.07 2.17 1.51 0.72 1.30 
1.10 1.42 0.68 0.64 1.34 
1.71 1.55 1.14 1.09 1.51 
2.17 2.18 1.30 0.87 2.16 
2.03 2.02 1.26 1.36 2.08 
1.37 1.41 0.95 0.83 1.46 
1.19 1.23 0.77 0.73 1.22 
1.35 1.38 0.92 0.98 1.25 
1.47 1.30 1.09 0.78 1.47 
1.90 1.78 1.21 1.11 1.94 
1.42 1.39 0.78 0.66 1.35 
1.36 1.38 0.90 0.82 1.41 
1.80 1.69 1.03 1.12 1.70 
1.45 1.45 1.03 0.89 1.51 
1.36 1.27 0.91 0.73 1.29 
1.88 1.97 1.23 1.35 2.04 
1.82 1.77 1.08 1.34 1.78 
1.66 1.49 0.98 0.84 1.35 
1.20 1.22 0.79 0.67 1.38 
1.16 1.26 0.87 0.76 1.20 
1.68 1.56 0.96 1.03 1.68 
1.99 2.06 1.67 1.25 1.96 
1.99 1.88 1.22 1.34 1.94 
1.76 1.71 1.43 1.33 1.77 
1.36 1.36 0.82 0.90 1.40 
1.51 1.48 0.80 0.84 1.52 
1.76 1.76 1.21 1.30 1.73 
1.31 1.33 0.80 0.72 1.05 
1.41 1.48 0.77 0.81 1.41 
1.89 1.93 1.13 1.30 1.94 
1.73 1.77 1.22 1.04 1.68 
1.81 1.78 1.30 1.15 1.72 
1.67 1.71 1.29 1.28 1.73 
1.30 1.28 0.83 0.89 1.37 
1.49 1.67 1.22 1.13 1.62 
