h11 h12 h13 h14 h15
121.59 105.28 110.35 121.47 129.34 
122.53 128.72 125.36 108.44 126.23 
114.78 103.04 93.51 107.10 102.85 
97.78 107.63 97.65 114.04 101.70 
93.73 100.34 91.65 103.26 93.43 
91.68 105.04 109.01 90.60 104.71 
105.77 83.11 99.25 95.13 106.68 
111.03 96.82 100.98 84.61 105.43 
92.97 107.70 108.17 104.30 95.17 
112.15 119.36 110.70 99.96 107.19 
111.71 96.36 80.24 101.22 97.41 
106.52 110.52 117.85 111.67 94.13 
106.87 93.58 88.20 107.89 92.53 
87.95 109.49 96.07 104.94 102.22 
94.83 83.47 84.50 94.64 105.31 
116.62 99.16 99.77 107.47 110.85 
86.21 96.68 101.40 100.67 109.77 
105.95 101.43 88.04 89.53 99.68 
107.90 113.81 83.90 92.70 103.34 
100.31 106.16 98.60 103.00 99.91 
106.08 104.81 94.28 101.39 104.90 
99.10 105.41 111.00 112.37 101.71 
112.78 103.83 99.76 112.76 93.30 
100.10 103.14 101.57 112.42 103.94 
98.21 85.55 85.39 108.85 103.65 
98.63 98.26 89.22 99.91 108.59 
93.20 101.16 91.54 107.93 101.79 
97.69 86.31 106.59 105.19 93.52 
104.66 103.79 86.40 108.81 82.22 
111.26 99.62 85.36 98.92 100.21 
100.46 98.29 97.93 87.18 97.35 
104.27 114.24 105.14 85.84 88.99 
75.29 91.72 105.17 105.73 91.83 
88.49 97.45 111.79 95.74 106.71 
100.53 105.80 98.60 93.83 82.06 
91.33 108.86 94.48 101.41 99.92 
98.01 83.58 104.29 96.73 107.89 
99.24 96.73 96.71 91.98 109.93 
95.50 83.79 95.90 110.77 102.03 
92.05 96.24 106.83 86.62 103.93 
93.57 106.89 96.38 104.23 92.63 
81.65 106.11 99.65 99.87 102.23 
87.04 104.97 110.40 83.72 96.77 
87.71 100.95 107.48 102.45 101.91 
107.29 84.84 85.39 100.44 101.90 
106.72 95.07 83.54 102.73 81.40 
95.29 106.56 106.22 90.91 86.32 
91.61 91.99 105.58 106.60 103.31 
108.00 111.76 104.54 85.89 101.15 
88.99 98.27 104.94 109.08 111.96 
