h11 h12 h13 h14 h15 h16 h17
133.53 94.37 113.64 129.27 111.28 137.42 134.76 
112.53 105.75 122.93 113.81 123.25 131.90 109.43 
118.08 119.55 119.83 107.05 127.73 122.16 112.24 
109.09 111.32 117.05 128.57 109.79 118.16 113.10 
104.16 120.00 116.38 125.60 127.18 130.72 122.55 
122.56 101.40 124.11 129.42 108.36 126.17 122.50 
107.14 116.83 115.18 120.42 114.84 131.15 130.38 
105.47 122.73 104.52 122.24 117.71 105.30 128.27 
112.08 120.58 108.38 127.03 121.38 122.17 107.48 
113.94 108.09 106.94 107.41 127.51 119.92 107.87 
118.77 104.07 111.27 90.22 116.30 127.57 109.24 
128.59 122.36 112.30 124.39 96.42 134.11 122.84 
105.80 118.65 129.37 105.35 115.02 97.81 122.03 
119.71 112.64 117.24 126.31 96.41 103.79 102.70 
116.65 111.75 129.16 128.56 93.04 99.30 107.12 
110.71 111.69 125.24 95.50 109.66 125.38 125.74 
108.63 126.84 120.17 121.86 109.15 116.77 116.07 
120.53 111.59 124.46 127.18 121.29 117.39 96.98 
109.92 126.61 97.36 110.29 121.97 120.06 129.88 
117.51 103.30 112.36 116.67 113.68 121.97 123.45 
124.30 124.81 113.44 131.88 124.88 93.58 117.04 
105.68 111.14 125.32 115.37 120.02 123.02 123.65 
100.56 116.63 129.68 114.91 130.75 128.86 111.36 
129.20 111.54 112.59 121.24 128.64 96.19 110.84 
104.13 127.75 110.57 124.54 110.54 118.78 118.88 
123.90 89.69 118.97 107.60 112.53 125.14 124.92 
114.92 108.69 113.83 124.89 127.94 128.41 119.39 
126.08 101.94 125.11 121.65 130.73 132.92 115.43 
125.26 119.33 124.42 130.67 102.72 124.75 100.33 
109.21 123.63 111.04 126.61 115.70 112.08 96.97 
97.38 129.39 120.86 98.42 121.50 109.87 116.00 
100.68 114.04 113.11 112.76 122.99 111.79 120.41 
122.11 118.48 115.85 121.87 131.47 110.31 105.43 
122.68 83.74 112.30 121.89 121.86 116.69 99.44 
124.28 83.83 130.94 122.76 128.48 104.41 119.26 
117.07 110.10 114.21 114.81 131.82 123.39 114.77 
124.65 115.09 109.65 125.41 109.93 125.00 106.01 
117.15 110.22 95.81 123.97 120.70 131.96 123.88 
111.75 132.34 127.10 99.40 120.66 120.07 115.78 
128.48 116.61 112.47 113.39 107.16 116.87 104.63 
131.64 127.34 115.47 104.31 103.61 116.73 123.70 
130.42 124.38 102.17 95.70 110.25 125.06 116.12 
125.36 98.55 110.02 119.20 109.15 127.94 127.21 
121.32 126.59 131.84 121.18 106.06 89.73 121.06 
133.06 118.35 111.59 117.50 118.92 105.88 129.31 
127.66 106.34 99.83 119.80 117.16 121.34 111.55 
107.33 117.70 92.52 110.87 118.20 124.74 126.39 
125.55 124.05 124.12 104.35 98.56 121.45 109.46 
101.34 118.68 117.32 109.53 116.91 120.89 130.19 
104.39 116.71 129.39 125.53 112.89 100.95 122.48 
