h11 h12 h13
4.89 4.22 4.40 
5.04 5.01 5.13 
5.35 5.11 6.01 
5.84 5.17 5.88 
5.19 5.73 5.58 
6.20 5.48 5.29 
5.16 5.33 5.11 
5.75 5.39 5.46 
6.91 5.63 7.69 
6.93 7.73 6.39 
6.32 7.26 6.37 
6.68 7.03 8.25 
6.23 6.42 6.52 
6.69 8.50 6.80 
6.97 5.93 6.86 
7.03 7.52 7.45 
5.96 8.59 8.39 
7.13 6.44 7.63 
6.98 6.91 6.64 
8.98 7.41 7.21 
6.08 6.07 6.12 
7.29 8.39 5.84 
7.65 9.21 8.21 
8.11 8.28 10.31 
7.99 7.77 7.37 
8.71 6.77 6.44 
6.91 6.72 6.16 
7.00 7.27 6.66 
8.86 5.96 7.83 
6.65 5.86 5.62 
4.13 5.83 5.41 
4.31 4.37 3.77 
4.72 4.57 3.94 
4.59 4.70 3.94 
4.61 5.57 3.96 
4.53 4.69 3.93 
4.97 5.00 4.73 
5.33 5.76 4.84 
4.69 4.83 4.61 
5.19 6.72 5.29 
5.10 5.00 4.30 
5.40 5.82 4.79 
5.18 5.25 4.54 
5.86 5.77 5.02 
5.98 5.29 4.41 
4.89 4.90 4.88 
6.08 5.93 5.17 
5.70 5.63 4.99 
5.87 5.69 5.22 
5.33 5.90 4.36 
