h11 h12 h13 h14 h15
0.79 0.42 0.79 0.77 0.75 
0.47 0.55 0.82 0.39 0.65 
0.89 0.91 0.43 0.79 0.74 
0.82 0.65 0.47 0.30 0.94 
0.72 0.92 1.17 0.85 1.21 
1.04 0.58 1.27 1.92 1.09 
0.84 0.83 0.68 0.73 1.34 
1.06 0.80 1.55 1.41 0.84 
1.28 0.72 1.26 1.23 0.89 
1.39 0.74 1.41 1.42 0.82 
1.29 0.64 1.34 1.09 0.91 
1.40 0.72 1.24 1.38 0.83 
1.28 0.85 1.26 1.30 0.80 
1.22 0.64 1.26 1.10 0.89 
1.23 0.76 1.30 1.24 0.76 
1.44 0.98 1.38 1.40 0.91 
1.51 0.96 1.40 1.30 0.99 
1.36 0.72 1.15 1.30 0.92 
1.38 0.97 1.46 1.34 0.89 
1.34 0.76 1.42 1.41 1.02 
1.32 0.92 1.30 1.31 0.87 
1.31 0.93 1.34 1.29 0.91 
1.32 0.84 1.40 1.15 0.91 
1.19 0.72 1.22 1.13 0.80 
1.26 0.81 1.34 1.36 0.89 
1.41 0.85 1.42 1.36 0.98 
1.34 0.86 1.33 1.24 0.89 
1.26 0.86 1.33 1.29 0.80 
1.17 0.78 1.23 1.15 0.70 
1.27 0.72 1.27 1.28 0.81 
1.23 0.76 1.14 1.20 0.78 
1.36 0.93 1.43 1.42 0.89 
1.26 0.85 1.34 1.33 1.11 
1.45 0.84 1.31 1.51 0.97 
1.30 0.80 1.29 1.38 0.88 
1.19 0.96 1.29 1.29 0.92 
1.16 0.82 1.34 1.27 0.77 
1.08 0.75 1.19 1.28 0.85 
1.31 0.91 1.35 1.31 0.89 
1.28 0.60 1.44 1.29 1.25 
1.41 0.72 1.37 1.29 0.78 
1.13 0.57 1.14 1.23 0.68 
1.16 0.62 1.23 1.19 0.84 
1.35 0.86 1.40 1.35 1.02 
1.45 1.02 1.39 1.44 0.97 
1.35 0.68 1.33 1.42 0.83 
1.21 0.68 1.18 1.12 0.90 
1.47 0.82 1.39 1.36 0.93 
1.33 0.67 1.24 1.19 0.94 
1.35 0.93 1.19 1.37 0.81 
